Lum,BP-RP,Teff
0.5,1.113,4975.64
0.968,1.0951,5023.78
0.144,1.3972,4884.0
1.11,1.0685,5045.0
0.932,1.0234,5168.54
0.112,1.6694,4285.0
3.339,0.9342,5186.77
1.923,1.226,4890.0
1.051,0.9635,5357.5
0.32,0.9983,5168.43
0.109,1.6442,4275.0
0.211,1.4376,4579.84
3.126,1.381,4683.82
2.793,1.0682,5061.54
0.4,1.1517,4940.0
0.567,1.1699,4916.33
2.983,1.0037,5229.78
0.236,1.3515,4955.0
2.592,1.0723,5044.2
0.067,2.4871,3661.01
0.102,1.8593,3986.5
0.616,1.1324,4968.67
0.245,1.3409,4921.33
0.211,1.6379,4345.68
0.044,2.4342,3362.75
0.103,1.8465,3910.5
0.338,1.167,4934.0
0.147,1.6151,4242.25
0.063,1.9237,3919.0
1.161,0.9993,5271.18
0.085,1.6615,4311.0
1.039,1.0518,5094.42
0.24,1.3221,4705.33
1.138,1.0789,5027.86
0.094,1.7803,4312.79
1.83,1.1752,4903.1
0.113,2.0928,4231.67
0.48,1.258,4921.62
0.687,1.0816,5009.53
2.299,0.8985,5462.08
0.329,1.1791,4873.0
1.406,1.0523,5088.52
1.184,1.007,5330.0
0.228,1.2772,4848.5
0.063,2.031,3907.11
0.452,1.2612,5066.03
0.401,1.0375,5167.85
0.051,2.0777,3711.25
3.247,1.2858,5068.67
0.185,1.4687,4458.0
0.117,1.9706,4031.27
0.264,1.2441,4928.81
0.156,2.1727,3598.0
0.158,1.3824,4994.42
0.049,2.2696,3715.83
0.062,2.4158,3375.0
0.647,1.0549,5515.08
0.342,1.3046,4857.58
0.473,1.0775,5046.79
0.189,1.531,4306.0
0.262,1.3532,4818.0
0.549,1.1226,4913.5
1.086,1.1087,4999.0
0.138,1.8101,3939.5
0.608,1.1157,4962.1
1.043,1.0607,5118.31
1.705,1.1859,4907.67
0.067,2.0112,4111.19
0.04,2.5397,3493.5
0.354,2.265,3608.0
0.5,1.1771,4889.0
0.119,1.722,4171.52
0.348,1.4036,4587.25
0.487,1.2346,4896.33
0.658,1.1928,4885.31
0.13,1.5976,4369.94
0.083,1.853,4175.11
1.553,1.0117,5299.59
0.73,1.176,4898.5
2.659,0.9573,5370.0
0.121,1.7533,4018.0
4.084,1.0883,5023.65
0.494,1.2693,4896.4
0.629,1.2101,4989.54
0.09,1.9059,4065.45
1.147,1.0355,5111.21
0.511,1.4477,4425.0
0.872,1.1602,4866.64
0.075,2.1408,3887.93
1.834,1.0712,5058.95
0.885,1.1298,4965.96
1.937,0.9742,5345.0
3.756,1.0206,5276.22
0.534,1.2424,4891.88
1.101,1.344,4994.91
0.274,1.465,4646.5
0.662,1.2668,5031.0
43.205,1.4588,4433.43
0.125,1.7165,4237.0
0.218,1.467,4426.5
0.241,1.4015,4610.0
0.492,1.2355,4898.67
0.125,1.7241,4234.0
0.2,1.9133,3864.33
0.257,1.6043,4251.0
0.156,1.613,4304.5
1.202,1.1363,4973.67
0.241,1.2489,4883.25
2.414,0.8346,5645.5
0.247,1.4308,4489.17
1.229,0.9381,5348.0
0.081,1.8722,3924.5
0.585,1.0829,5042.0
4.085,0.9883,5347.25
0.821,0.9679,5370.0
1.689,1.0851,4987.0
3.34,0.7578,5742.56
0.692,0.9296,5278.02
0.042,2.1688,3629.81
0.171,1.3804,4908.0
1.282,0.939,5432.5
0.501,1.4562,4661.0
0.493,0.969,5339.0
10.427,0.3905,7985.0
0.048,2.4078,3410.75
0.12,1.5919,4331.29
1.028,1.0135,5305.67
0.055,2.3758,3557.0
0.809,1.0857,5031.88
0.638,1.1746,5011.33
0.238,1.7714,4035.0
0.106,1.5876,4412.33
3.122,0.8245,5818.5
0.839,1.1211,4928.16
4.636,1.1137,4967.0
0.678,1.0429,5116.61
0.251,1.3993,4418.58
0.104,1.8127,3900.0
3.053,1.1963,4874.0
1.137,0.8385,5742.28
0.757,0.955,5369.5
1.674,0.9617,5367.75
0.237,1.2374,5045.67
2.213,0.7906,6044.75
2.742,0.8447,5756.0
0.426,1.1183,4965.0
1.214,0.9899,5325.0
0.247,1.4823,4361.33
0.172,1.5834,4318.5
1.673,0.9592,5353.33
0.404,1.1302,4941.0
0.237,1.2454,5055.67
0.849,1.0369,5090.25
0.412,0.9991,5331.33
0.202,1.2327,4815.81
0.837,1.0713,5156.0
1.63,1.0473,5087.0
1.234,0.9031,5615.83
8.445,1.2765,4847.79
2.374,0.8568,5764.0
0.822,1.0387,5064.41
0.305,1.0622,5378.58
0.725,1.1421,4903.77
0.417,1.0328,5055.34
0.166,1.4671,4674.67
0.099,1.7878,4282.23
0.848,1.0066,5325.0
0.501,1.1267,4947.0
0.226,1.3607,4818.19
0.391,1.1409,4980.51
0.126,1.6319,4307.0
12.805,1.1657,5037.5
0.378,1.1568,4929.0
0.084,1.7298,4193.88
0.35,1.2072,4893.67
0.499,0.9551,5385.5
1.012,0.9339,5367.75
46.536,1.2026,4903.77
0.091,1.8173,4151.49
0.515,0.976,5169.13
0.749,1.0201,5300.0
0.199,1.3576,4729.79
0.153,1.7904,3994.0
4.214,0.8154,5793.0
1.042,0.8976,5612.1
0.317,1.4354,4437.33
0.128,1.6954,4084.57
4.375,0.9083,5488.5
2.712,0.871,5676.0
0.16,1.6151,4241.81
0.167,1.3588,5003.75
0.908,1.0325,5137.08
3.91,0.883,5748.0
1.363,0.868,5718.33
2.475,0.8455,5772.33
0.476,1.071,5057.02
2.186,0.991,5330.02
0.726,1.0318,5160.0
0.17,1.59,4221.38
0.548,1.1707,4909.0
0.079,2.0351,3664.67
1.327,0.8804,5841.81
0.283,1.2475,4753.5
0.621,1.0033,5312.67
1.306,1.0503,5110.6
0.148,1.6594,4372.67
0.718,0.9309,5429.33
0.064,2.0945,3681.33
0.363,1.0689,5098.84
0.496,1.107,4975.94
1.732,0.8286,5822.33
6.72,1.2,4897.75
0.334,1.2042,4920.63
1.336,0.9848,5332.0
1.227,0.9884,5356.0
0.506,1.0975,4999.36
0.281,1.2216,4891.0
3.368,0.8035,5829.0
3.412,0.8493,5779.0
0.647,1.0709,5094.82
0.127,1.5307,4420.67
0.107,1.977,3706.5
1.688,0.8289,5829.0
0.396,1.2098,4950.49
0.133,1.5866,4308.5
0.133,1.4472,4456.08
0.212,1.3225,5002.0
1.704,0.8609,5799.45
2.815,0.7753,6223.67
0.981,0.9933,5249.92
0.147,1.604,4214.0
1.71,0.9602,5375.0
0.61,1.0528,5069.5
0.711,1.1258,4965.25
2.348,0.9915,5149.92
0.316,1.2287,4878.0
1.385,0.9299,5376.67
0.532,1.0986,4997.67
0.374,1.1404,4935.0
0.45,1.0954,4919.0
0.374,1.1738,4908.24
0.179,1.3275,4896.35
0.829,0.9637,5321.33
1.433,0.8096,5785.0
3.323,0.8755,5981.0
3.653,0.8737,5849.01
0.543,1.0785,5128.94
0.232,1.2928,4862.26
0.276,1.3226,4776.06
0.586,1.1058,5018.0
1.472,0.9823,5340.33
0.161,1.4598,4522.75
0.177,1.7252,4173.0
0.539,1.0673,5046.6
0.507,1.1307,4998.29
0.106,1.7115,4181.01
4.218,0.8469,5785.5
0.13,1.9441,4053.62
0.484,1.0919,4875.71
1.702,0.8292,5831.33
0.15,1.7069,4126.99
0.45,1.0105,5206.81
0.643,1.0079,5259.95
0.217,1.2854,4870.79
1.903,0.9081,5427.0
0.101,1.7277,4109.18
1.239,0.8875,5501.78
4.625,1.2175,4836.4
1.09,1.0611,5097.87
0.144,1.4623,4431.33
1.092,0.9665,5342.0
0.572,1.1256,4980.33
0.252,1.2706,4867.8
2.893,0.9578,5283.53
0.243,1.2278,4873.67
2.956,1.2662,4908.5
1.871,1.1386,4896.17
0.525,1.0889,4984.0
0.324,1.2306,5000.57
0.503,1.0194,5127.32
0.637,1.486,4443.59
0.221,1.3558,4916.38
0.504,1.0615,5338.21
0.773,1.0376,5091.82
1.473,0.9675,5396.0
0.158,1.5262,4390.25
1.347,1.081,5031.61
0.948,0.9829,5335.0
0.151,1.7853,3988.88
0.401,1.2016,4891.33
0.077,1.9093,3864.0
2.62,0.9918,5309.0
0.075,1.861,3878.5
0.135,1.5717,4432.33
0.824,1.0345,5120.0
0.378,1.2198,4892.0
0.482,1.0873,5023.65
0.254,1.167,4920.0
0.477,1.158,4936.5
0.432,1.1507,4958.0
0.089,1.7468,4209.63
1.243,0.9481,5289.67
0.77,1.0375,5215.02
1.911,0.9381,5154.88
0.257,1.461,4412.41
0.301,1.2869,4751.75
0.068,1.9263,4026.0
0.175,1.553,4278.4
2.232,0.9033,5705.59
1.679,1.0661,5077.0
2.349,1.0811,4935.06
0.631,1.0628,5146.29
0.323,1.1783,4887.5
0.366,1.3711,4902.63
0.093,2.2847,3732.91
76.811,1.7617,4116.6
0.05,2.1201,3696.19
0.992,1.0594,5053.52
2.591,0.9144,5445.4
0.775,1.078,5191.46
0.982,1.0812,5028.93
0.899,1.2108,4876.54
2.023,1.0699,5064.27
1.042,0.9663,5231.75
0.16,1.4303,4484.0
1.83,0.9846,5249.71
0.177,1.3486,4905.0
0.07,1.952,3906.02
3.018,1.0331,5149.0
2.167,0.9986,5249.5
7.952,0.6559,6428.33
2.431,0.9897,5335.0
1.083,0.9,5516.0
0.648,1.0437,5133.72
0.159,1.3587,4843.18
0.196,1.344,4724.09
0.109,1.7801,4144.4
0.689,1.007,5324.0
0.127,1.4223,4633.92
0.305,1.2464,4895.96
0.768,1.0963,5035.07
0.139,1.5981,4211.08
0.691,1.0917,5012.11
0.478,1.22,5075.67
0.16,1.3581,4845.0
2.267,1.1558,4938.5
0.405,1.0897,5016.94
0.231,1.3887,4652.52
9.116,0.4303,7647.78
0.437,1.1483,4852.0
1.869,0.941,5409.0
1.709,0.9116,5425.0
0.247,1.2835,5037.0
2.682,0.7106,6166.4
0.229,1.4026,4637.23
0.427,1.1128,5000.85
0.727,0.9804,5335.0
0.188,1.411,4448.0
0.52,1.1725,4903.1
3.336,0.7505,5871.0
5.173,1.3515,4703.9
0.075,2.0488,3805.36
0.151,1.4762,4599.61
0.099,1.7961,3970.5
0.241,1.3487,4703.84
0.196,1.5999,4371.5
0.6,0.9461,5371.75
0.071,2.2293,3538.67
1.358,0.9472,5319.0
1.281,0.9179,5431.25
2.232,1.0451,5219.69
0.193,1.3275,5013.0
2.47,1.1155,4935.0
0.617,1.0079,5172.5
0.324,1.3037,4913.82
1.069,1.1202,4951.0
1.014,1.0389,5104.72
0.229,2.0345,3982.37
0.374,1.1653,4924.75
0.532,1.1353,4939.0
0.79,0.994,5175.0
0.343,1.3001,4800.0
0.272,1.3136,4720.55
0.332,1.2235,4853.0
1.976,1.0057,5326.0
0.204,1.4416,4600.0
1.426,0.9563,5359.0
0.389,1.1228,4969.05
0.758,1.1137,4995.0
0.163,1.4876,4412.0
0.762,0.9875,5336.0
0.576,1.1656,4952.0
0.49,1.1646,4940.0
1.4,0.9343,5278.33
0.487,1.0047,5338.21
1.978,0.9789,5332.25
0.377,1.2492,4986.0
0.117,1.6507,4227.5
0.205,1.344,4972.33
0.364,1.1532,4943.67
0.763,1.1,4914.99
0.161,1.404,4571.58
0.04,2.1748,3613.33
0.268,1.2222,4852.0
0.372,1.3313,4832.56
0.42,1.0662,5407.98
0.091,1.7383,4207.06
0.229,1.3809,4803.68
1.258,1.0098,5325.0
0.191,1.425,4469.65
2.796,1.1856,4920.33
1.459,1.0216,5259.95
0.145,1.2748,4804.11
0.134,1.6897,4181.57
0.353,1.3097,5011.26
0.729,1.0444,5133.81
0.077,1.8953,3858.5
0.253,1.4775,4548.18
0.119,1.7116,4218.75
1.778,1.1085,5000.85
0.167,1.4254,4460.0
0.216,1.3675,4895.0
0.284,1.304,4891.52
1.496,1.0669,5041.33
0.214,1.4984,4469.33
1.211,1.0129,5290.74
0.261,1.2685,4896.4
0.145,1.5511,4350.31
1.687,1.0791,4978.22
0.358,1.1853,4894.0
0.188,1.9263,3845.0
2.98,1.4669,4382.33
0.554,1.1744,4909.0
0.359,1.1775,4873.0
2.195,1.0751,5061.54
0.253,1.2543,4848.8
0.742,1.0714,5287.8
0.082,1.9344,3910.0
1.903,1.0863,4995.12
0.267,1.2203,4866.33
0.824,1.1201,4922.33
0.213,1.3858,4821.33
0.627,1.0959,5044.1
0.06,2.1727,3581.0
1.752,1.0507,5099.5
0.801,1.3299,4798.17
0.101,1.8483,3955.67
1.657,1.0376,5032.53
4.014,1.0617,5115.67
0.301,1.2578,4909.99
0.545,1.1871,4866.43
0.428,1.2528,4837.86
0.09,1.7886,4103.37
0.902,1.0283,5217.08
1.974,1.14,4964.44
0.276,1.2132,4881.0
0.742,1.1192,4961.25
0.194,1.2475,4838.93
0.213,1.3718,4807.97
0.674,1.1282,4964.26
52.918,1.3552,4935.75
0.284,1.5097,4390.0
17.993,1.437,4504.33
0.122,1.6407,4333.67
2.194,1.3846,4608.84
0.179,1.4641,4442.29
1.31,1.0924,5083.43
0.578,1.2499,4869.32
0.288,1.4632,4530.67
0.349,1.1801,4905.0
0.432,1.2088,4867.86
0.694,1.1761,5010.0
0.069,1.8243,4142.73
1.368,1.0501,5023.72
0.09,1.7769,4074.0
0.177,1.4313,4544.26
0.787,0.9576,5362.0
0.173,1.6488,4247.9
1.136,1.2539,4862.28
2.144,1.0846,5057.0
0.597,1.1032,5009.21
0.888,1.063,5058.06
0.151,1.4532,4474.53
2.402,0.7761,5833.37
41.16,1.4235,4704.31
0.724,1.2087,4877.0
0.26,1.2541,4841.62
0.952,1.0765,5024.22
1.121,1.1344,4897.33
0.066,2.1788,3607.0
0.124,1.7407,4498.4
0.318,1.2608,4914.5
0.604,1.1444,4933.0
0.102,1.7934,4004.99
0.228,1.3493,4995.84
0.191,1.6057,4246.6
0.294,1.3221,4785.52
0.705,1.0932,5053.21
0.544,1.1907,4908.0
0.559,0.9907,5325.0
0.167,1.7356,4044.27
0.116,1.7654,4098.0
0.166,1.5929,4413.95
4.528,1.3056,4736.23
2.422,0.9276,5412.0
0.175,1.6679,4367.36
0.526,1.259,4815.74
51.463,1.4728,4426.0
0.438,1.209,4940.05
0.073,1.9825,3710.5
0.443,1.2111,4886.07
0.256,1.5091,4344.67
0.206,1.3964,4600.22
0.89,1.1249,4970.67
1.901,1.075,4995.12
1.377,1.1204,4933.73
0.588,1.2385,4926.03
0.388,1.1106,5058.16
0.265,1.2285,4878.0
1.173,0.8725,5849.01
6.058,1.0565,5046.29
0.55,1.1618,4921.0
1.007,0.9568,5370.75
2.511,0.8459,5799.75
0.19,1.4402,4569.51
0.468,1.1022,5089.65
0.065,2.1739,3597.66
1.69,0.9347,5354.21
2.231,1.0897,5042.0
0.686,1.118,4949.5
1.077,1.0629,5109.85
9.127,1.3854,4791.16
2.721,0.8055,5824.0
1.908,1.1035,4997.6
1.265,0.9499,5317.0
1.133,0.9788,5332.33
4.038,1.0756,5275.85
2.796,0.8931,5601.03
0.152,1.4389,4550.33
0.153,1.3742,4695.49
0.422,1.1441,4895.0
0.054,1.9808,3780.33
0.864,0.9722,5350.75
0.729,1.016,5456.0
0.821,0.994,5207.56
1.096,1.1855,4857.0
0.366,1.4203,4412.5
2.765,1.3817,4927.0
0.324,1.2469,4898.58
62.722,1.3081,4861.77
0.147,1.3605,4882.0
0.587,1.1358,4952.0
1.821,0.8943,5588.75
6.016,0.797,5826.0
0.423,1.225,5074.47
3.181,0.8504,5563.73
0.201,1.7797,4167.83
0.127,1.8867,3926.14
1.688,1.0323,5187.58
0.247,1.4564,4441.48
0.155,1.6851,4404.45
0.498,1.0559,5551.39
0.491,1.1694,4903.1
0.98,1.0835,5042.0
0.268,1.7345,4114.0
1.96,0.9785,5339.3
0.153,1.5726,4353.25
0.899,0.9583,5365.67
0.168,1.4245,4588.74
0.089,1.6776,4183.0
0.588,1.028,5149.0
0.995,1.017,5282.46
0.978,0.8558,5745.0
0.419,1.1435,4949.67
1.025,1.073,5056.16
1.272,1.0557,5048.59
1.489,1.0091,5342.0
1.118,0.9558,5384.0
0.182,1.4236,4797.0
8.958,1.3901,4845.38
0.156,1.8315,4245.08
0.213,1.317,4776.51
3.578,0.8932,5601.0
0.775,1.2172,4856.0
0.504,1.1827,4860.68
0.524,1.1384,4957.25
0.278,1.2474,4852.0
1.79,1.0466,5201.27
0.271,1.3194,4764.1
302.384,1.7432,4121.13
0.08,2.1174,3882.69
0.409,1.1464,4893.67
0.172,1.4833,4409.0
1.347,1.0655,5046.6
0.568,1.178,4903.1
0.582,1.0572,5086.76
0.104,1.7604,4072.04
1.537,0.9366,5125.21
2.861,1.216,4887.43
0.162,1.8109,3960.25
0.229,1.4513,4473.33
0.234,1.3807,4875.42
0.304,1.1975,4894.98
0.151,1.5352,4405.5
0.581,1.1028,4975.74
0.132,1.7482,4027.5
0.298,1.2359,4917.0
0.252,1.1761,4885.26
0.238,1.3473,4935.29
0.099,1.8738,4174.93
0.101,1.7814,4047.75
0.388,1.1354,4896.75
0.538,1.1222,4955.67
1.294,1.0635,5146.29
1.876,0.9428,5284.0
0.13,1.8242,3906.0
0.245,1.316,4854.99
0.254,1.271,4913.81
0.929,0.9904,5150.0
0.769,1.0114,5245.25
1.926,0.9337,5308.91
1.555,0.8523,5664.0
0.633,1.0102,5276.22
0.705,1.1289,4899.64
0.919,1.0373,5088.0
0.314,1.451,4586.18
0.993,1.0807,5035.69
1.844,0.7682,5952.0
0.088,1.9199,3811.67
123.82,1.5476,4420.01
3.855,1.2918,4839.0
0.162,1.6854,4194.33
1.702,1.0427,5093.0
0.263,1.5888,4359.0
0.07,2.1507,3806.75
0.106,1.6874,4265.67
4.566,1.3112,4936.0
4.438,1.2421,4891.38
0.23,1.3257,4806.77
0.926,1.03,5302.23
0.905,1.101,4947.62
0.08,1.7731,4188.57
0.78,1.0751,5021.03
0.796,1.1507,4959.0
1.065,1.0711,5120.25
0.099,1.8231,3996.0
0.103,1.9784,3757.0
0.216,1.2661,4923.68
1.461,1.0138,5201.15
69.325,1.4555,4371.52
2.306,1.1328,4938.08
0.122,1.6112,4266.44
0.594,1.1662,5009.0
0.118,1.4739,4406.0
2.157,0.9858,5334.0
0.264,1.3208,4970.65
0.144,1.8718,4073.99
0.332,1.2108,4867.0
0.279,1.1737,4896.9
1.412,1.1683,4933.67
0.226,1.9459,3828.0
0.572,1.2384,4903.98
1.033,0.9192,5441.0
0.302,1.3164,4756.79
2.089,1.0288,5311.45
5.188,1.2195,5024.0
0.406,1.2591,5001.75
1.037,1.047,5141.0
0.183,1.4302,4601.22
0.333,1.4225,4444.5
0.078,1.8264,3919.0
0.916,1.055,5421.93
1.605,1.2125,4881.5
0.66,1.0824,5033.33
3.345,1.2765,4963.27
0.545,1.2478,4944.04
0.182,1.3071,4889.31
2.92,1.3035,5069.75
0.614,1.048,5042.88
0.181,1.5636,4268.55
0.662,1.3027,4750.0
0.7,1.135,4943.7
0.59,1.1512,4936.0
3.165,0.8342,5737.33
0.521,1.0324,5141.0
1.508,0.8045,5837.25
0.049,2.0919,3646.0
0.102,1.8754,3881.0
1.017,0.9348,5334.64
1.322,0.8704,5746.0
1.842,0.966,5425.19
0.274,1.2923,4804.11
0.059,2.1588,3692.5
0.173,1.4733,4589.33
1.696,0.9026,5359.25
0.081,1.7335,4151.9
0.615,1.0754,5018.81
7.731,1.2781,4775.0
5.4,0.8742,5782.5
0.101,2.0954,3641.25
1.108,1.0276,5222.77
0.86,1.0077,5303.0
0.558,1.0987,4914.06
0.159,1.5048,4440.67
0.1,1.5663,4315.55
1.342,0.9019,5484.0
0.359,1.1311,4949.89
5.12,0.8911,5664.87
9.993,1.2606,4982.49
0.67,1.1029,5005.88
0.237,1.4133,4454.0
0.37,1.1863,4923.0
1.626,0.908,5513.0
1.823,0.9093,5466.95
0.202,1.3187,4746.64
0.307,1.4544,4474.53
0.155,1.6467,4320.0
1.353,1.0628,5118.31
0.48,1.1124,5003.0
1.611,0.9143,5388.75
0.262,1.4657,4388.25
2.081,1.3231,4755.82
0.348,1.2563,4983.5
0.45,1.2341,4943.13
0.233,1.2568,4877.47
0.15,1.2999,4892.67
0.189,1.3562,4857.48
2.431,0.9794,5144.0
0.172,1.5715,4313.39
0.611,0.9928,5286.9
4.242,0.7684,5979.33
0.237,1.3002,4832.95
0.701,1.1117,4953.75
2.651,0.9958,5358.0
36.231,1.3851,4937.0
0.272,1.4009,4535.54
0.136,1.63,4360.0
0.079,1.9695,4029.74
4.162,1.038,5081.56
0.438,1.203,4901.0
29.636,1.5732,4355.11
0.711,1.1642,4938.44
0.546,1.0194,5125.75
0.59,1.1516,4933.57
0.397,1.307,4970.1
0.228,1.0552,5056.16
0.244,1.479,4396.13
1.608,0.9187,5424.0
0.253,1.467,4421.2
0.079,1.9008,3991.8
1.885,0.9819,5332.0
0.435,1.2012,4918.22
0.358,1.2188,4885.0
0.768,1.2114,4941.0
1.219,1.0563,5070.0
0.092,1.6902,4258.0
0.193,1.718,4373.9
0.222,1.3763,4740.39
0.6,1.1605,4904.0
1.067,1.1129,5061.0
0.616,1.1076,4987.0
0.479,1.1533,4949.0
0.18,1.5387,4490.67
0.857,0.9911,5347.5
0.201,1.7137,4248.75
0.128,1.4193,4687.5
1.02,1.0904,5037.75
0.54,1.1893,4870.19
0.251,1.3028,4837.36
0.245,1.0893,4971.35
6.623,1.2971,4878.25
0.212,1.4111,4773.7
0.874,1.1825,4882.09
1.415,1.1894,4908.25
59.807,1.3953,4717.94
0.099,1.6353,4383.0
9.593,0.6711,6157.2
4.025,0.6111,6579.15
0.11,1.7805,4214.5
0.15,1.4993,4341.67
0.076,1.8963,3860.33
0.137,1.9171,3793.25
2.812,0.9324,5308.91
0.131,1.636,4296.97
0.804,1.2083,4875.58
0.344,1.3446,4743.72
0.37,1.4254,4756.0
0.24,1.4409,4641.99
0.759,1.1138,5001.75
8.532,1.3565,4779.0
0.199,1.3753,4781.91
2.835,1.0676,5077.0
0.723,1.0702,5054.37
0.825,1.1596,4880.87
22.987,1.4531,4437.65
3.954,1.5074,4438.81
1.321,0.9923,5150.0
0.972,1.1243,4954.33
1.09,1.0791,5018.25
0.835,1.1187,4960.19
0.393,1.378,4850.34
0.561,1.2742,4750.5
0.731,1.035,5178.03
0.077,1.7977,3969.0
0.368,1.3663,4749.11
0.216,1.3314,4919.53
0.683,1.1104,5010.25
0.249,1.4512,4462.37
0.58,1.2224,4859.82
0.093,1.4833,4484.12
0.203,1.3209,4837.5
0.137,1.348,4932.5
0.182,1.719,3990.0
0.761,1.1607,4931.15
1.259,1.0309,5143.65
0.668,1.0961,4923.41
1.673,0.8558,5774.0
0.968,1.1427,4946.0
0.447,1.0769,4994.92
0.589,1.0552,5096.33
0.163,1.3218,4979.42
1.443,1.0272,5265.05
0.267,1.1617,4881.0
2.94,0.9857,5249.92
0.488,1.047,5034.6
0.211,1.3265,4768.5
1.396,0.9448,5480.1
0.056,2.0848,3763.0
0.745,1.0845,5031.88
0.78,0.959,5332.0
0.557,1.0249,5192.67
0.704,0.9388,5343.0
1.692,1.08,5003.64
1.362,1.1195,4935.0
0.46,1.084,5021.28
0.266,1.2502,4837.63
2.659,1.0126,5195.03
0.096,2.0173,3761.0
2.099,1.1363,4982.58
0.349,1.2158,4834.7
1.582,0.9724,5352.0
1.256,0.9003,5424.0
0.266,1.3369,4905.58
0.486,1.2165,4854.0
0.301,1.2518,4867.81
94.996,1.5759,4463.48
1.201,1.0141,5329.0
0.4,1.0896,5035.93
0.231,1.3238,4671.65
0.328,1.4542,4418.35
0.792,1.0271,5240.1
0.47,1.1133,4935.0
1.339,0.9296,5239.68
1.128,1.1902,4876.0
0.217,1.4669,4333.0
0.211,1.3729,4710.63
0.216,1.301,4887.19
0.3,1.4554,4488.61
2.32,0.7426,6152.0
0.702,1.0274,5153.07
1.857,1.0185,5342.0
40.716,1.3485,4853.22
0.381,1.1483,4960.85
0.211,1.2743,4883.25
0.3,1.1661,4933.0
0.475,1.1328,4970.0
0.865,1.052,5096.33
36.01,1.4906,4458.0
0.29,1.2947,4875.49
0.341,1.1296,5047.29
0.055,2.1738,3949.0
1.242,1.0294,5312.0
0.948,1.1764,4900.0
3.326,1.2098,4902.6
0.364,1.2059,4897.52
0.479,1.0895,5022.88
0.418,1.0368,5092.92
2.904,1.1945,4900.41
0.982,1.0374,5226.33
0.819,1.1529,4858.05
0.682,0.9776,5284.6
9.152,0.9675,5334.0
0.199,1.3041,5041.63
0.698,1.1216,4934.77
1.503,0.9967,5196.78
0.661,1.0163,5179.25
1.125,0.9135,5408.33
0.533,1.2525,4847.03
0.054,2.2536,3771.45
2.706,0.9476,5319.0
0.189,1.4185,4411.98
0.238,1.4261,4764.0
0.73,1.2239,4912.29
0.249,1.5779,4307.0
0.107,1.5444,4346.0
1.193,1.0736,5044.2
0.081,1.8096,3927.5
0.143,1.6683,4290.5
1.982,0.8769,5981.33
0.293,1.5019,4410.0
0.083,1.9328,3986.06
0.271,1.2749,4801.3
0.533,1.1635,4922.71
0.93,1.0117,5319.67
1.697,0.9465,5357.41
1.667,1.1451,4977.0
0.479,1.3957,4677.33
1.235,0.9745,5345.0
0.083,1.9148,3820.0
0.541,0.9953,5324.0
1.248,0.9129,5421.5
0.112,1.4901,4398.27
0.063,2.2113,3620.67
0.3,1.2232,4888.04
0.685,1.0746,5316.7
0.344,1.3058,5005.0
0.587,1.333,4789.6
0.53,1.0536,5087.0
1.257,1.0371,5133.72
0.963,1.1263,4989.68
0.246,1.2926,4861.0
0.119,1.6456,4363.99
0.051,2.0864,3822.33
2.233,0.9171,5426.25
29.467,1.4316,4686.93
2.702,1.2545,4850.36
0.09,1.9478,3777.5
0.39,1.24,4903.98
0.422,1.2666,5035.0
0.511,1.1036,5004.0
0.8,1.2121,4907.5
0.181,1.533,4359.33
0.547,1.0132,5342.73
0.246,1.3643,4949.5
0.425,1.2778,5027.0
1.879,1.0741,5056.63
0.825,1.0526,5126.45
0.755,1.0503,5152.22
0.133,1.6783,4208.69
0.094,1.8514,4002.81
3.856,0.984,5303.33
5.072,0.3957,7757.0
0.347,1.2419,4841.36
2.711,1.0203,5171.5
0.225,1.7511,4185.5
0.245,1.3297,4784.98
0.145,1.6619,4295.75
0.119,1.6239,4271.0
0.926,1.2421,4855.33
0.55,1.1097,4937.96
1.329,1.0606,5092.0
0.098,1.9288,3875.53
2.217,1.2163,4805.52
1.904,1.0611,5137.24
1.183,1.07,5136.61
0.141,1.7155,4235.0
0.956,1.0396,5078.06
0.335,1.289,4903.38
0.518,1.0828,5025.57
1.615,1.1122,5003.5
0.212,1.4839,4402.56
0.169,1.521,4439.48
1.767,1.0109,5331.0
1.112,1.0562,5058.06
0.11,1.5979,4327.25
2.585,1.3673,4762.24
0.071,1.8273,4105.87
4.36,1.2939,5042.96
0.927,1.1709,4921.5
0.089,1.9639,3837.0
0.197,1.3063,5038.5
0.438,1.225,4939.75
1.413,1.0691,5660.01
0.473,1.3171,4844.56
1.889,1.0993,4970.97
6.751,0.8136,5834.67
0.653,1.0702,5051.45
3.014,0.8775,6113.0
0.19,1.4366,4579.84
0.139,1.586,4208.95
0.202,1.2514,4907.12
0.153,1.5772,4282.08
6.633,1.3342,4819.92
0.346,1.3087,4793.0
1.773,0.855,5772.75
3.459,0.9387,5283.0
0.084,1.8562,4083.91
0.181,1.4293,4493.96
0.165,1.0163,5158.92
0.162,1.62,4400.0
0.286,1.3037,4993.0
0.263,1.5232,4396.0
0.151,1.2424,4908.0
0.362,1.1751,4945.44
0.604,1.0446,5113.87
6.167,0.7075,6166.38
0.1,1.7256,3940.57
55.489,1.4543,4569.4
22.113,1.3687,4587.17
0.203,1.2897,4992.5
0.197,1.4618,4410.29
0.097,1.8464,3982.0
0.322,1.3027,4818.36
0.301,1.2858,4899.14
0.877,0.9494,5424.0
0.53,1.06,5752.65
