Lum,BP-RP,Teff
0.102,1.8085,3917.6
0.158,1.5132,4434.0
0.077,1.8897,4062.0
31.774,1.3834,4774.17
0.874,1.1275,4976.25
0.718,1.1222,4950.97
0.539,1.1723,4914.5
0.257,1.3118,4914.0
0.19,1.4527,4423.0
2.132,1.0669,5469.29
0.809,1.0498,5117.25
4.032,1.042,5152.72
0.075,2.3983,3905.77
0.166,1.5295,4510.27
0.987,1.0615,5294.36
0.265,1.2877,4824.71
0.568,1.1137,4995.0
2.734,1.3026,5024.5
52.333,1.4403,4450.7
0.556,1.1737,4903.1
0.167,1.5514,4303.0
1.395,1.0794,5063.69
1.556,0.887,5603.0
0.479,1.1312,4968.51
0.535,1.194,4918.78
0.073,2.0259,3913.54
0.165,1.3062,4793.0
0.107,1.8918,3779.0
5.248,0.977,5350.25
0.84,1.2092,4939.74
0.201,1.3603,4779.0
0.224,1.4748,4526.77
0.696,1.1883,4878.0
0.106,1.9381,3926.0
3.644,0.5645,6665.73
0.266,1.4884,4657.33
0.042,2.2346,3525.25
0.422,1.3114,4911.55
0.632,1.2257,4860.5
0.446,1.1898,4886.0
1.851,1.0431,5086.0
0.359,1.2509,4965.79
0.134,1.6125,4297.06
0.149,1.7292,4182.36
0.074,2.2958,3977.39
5.585,1.3177,4761.26
0.687,1.0301,5240.09
2.055,1.0061,5255.5
0.204,1.5143,4351.5
0.453,1.2718,4779.28
9.612,0.7232,6150.0
0.744,0.9847,5335.1
0.195,1.3011,4873.84
3.603,1.0746,5071.53
0.343,1.2751,4961.59
2.061,1.1356,4962.68
0.227,1.3531,4779.0
3.438,0.9766,5387.15
0.309,1.2892,4982.69
1.645,1.0489,6262.13
0.136,1.7818,4002.33
0.26,1.4125,4448.65
0.264,1.2828,4925.0
0.659,1.221,4854.07
0.076,1.92,3811.67
1.376,1.0234,5188.46
0.167,1.5661,4462.33
5.352,0.6428,6620.5
0.083,1.7758,4346.17
0.548,1.2201,4887.43
1.214,1.0481,5284.6
0.309,1.4359,4434.0
0.663,1.1317,4968.67
0.983,1.2753,4895.69
0.179,1.5844,4359.0
0.127,1.6704,4227.5
0.185,1.4997,4396.5
0.458,1.2841,4942.67
34.778,1.6951,4143.33
0.086,1.9615,3797.0
2.302,0.6602,6240.12
1.839,1.0379,5074.67
0.161,1.8373,4060.0
0.133,1.7395,4436.72
1.436,1.2271,4872.0
0.121,1.9554,3960.03
0.117,1.6901,4116.4
0.302,1.0765,5041.88
0.166,1.4371,4446.77
0.396,1.1565,4941.67
0.346,1.2408,4900.49
0.202,1.4746,4497.0
0.414,1.2558,4873.48
0.939,1.0334,5089.71
0.168,1.522,4414.0
0.247,1.402,4793.47
1.309,0.7911,6118.87
0.093,1.625,4437.38
0.815,1.1594,4806.96
0.217,1.574,4391.0
0.456,1.3524,4862.13
2.177,0.7392,6006.0
0.067,1.9942,3851.73
0.396,1.0543,5062.67
0.225,1.376,4956.0
1.647,1.1083,4954.51
1.486,0.9917,5320.0
2.96,0.863,5742.0
1.422,0.889,5718.62
0.849,1.1508,4949.0
1.474,1.0492,6327.3
1.563,0.844,5793.67
0.641,0.9946,5258.0
4.098,0.8418,5782.0
1.447,1.084,5057.75
0.808,1.2479,4852.0
0.121,1.72,4163.25
0.272,1.764,4126.25
